<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201125,1050.00,1179.00,1000.00,1109.00,11918750000,10745,336,D,1073.00,1040.00
IKCO-O-991007,20201124,1120.00,1189.00,1000.00,1073.00,13861977000,12918,463,D,1049.00,1044.00
IKCO-O-991007,20201123,1094.00,1110.00,990.00,1049.00,11313762000,10785,281,D,993.00,1065.00
IKCO-O-991007,20201122,950.00,1097.00,865.00,993.00,11305734000,11385,420,D,975.00,990.00
IKCO-O-991007,20201121,1070.00,1160.00,806.00,975.00,14328604000,14703,508,D,1024.00,899.00
IKCO-O-991007,20201118,988.00,1080.00,964.00,1024.00,18165084000,17747,543,D,901.00,1080.00
IKCO-O-991007,20201117,810.00,941.00,810.00,901.00,16515534000,18339,551,D,836.00,941.00
IKCO-O-991007,20201116,720.00,870.00,720.00,836.00,11330871000,13556,483,D,772.00,830.00
IKCO-O-991007,20201115,850.00,870.00,690.00,772.00,17872675000,23137,769,D,802.00,750.00
IKCO-O-991007,20201114,660.00,840.00,660.00,802.00,21950135000,27373,927,D,628.00,805.00
IKCO-O-991007,20201111,623.00,700.00,571.00,628.00,23672982000,37694,935,D,629.00,669.00
IKCO-O-991007,20201110,580.00,750.00,575.00,629.00,19582119000,31143,791,D,563.00,625.00
IKCO-O-991007,20201109,650.00,650.00,519.00,563.00,13317551000,23665,625,D,489.00,628.00
IKCO-O-991007,20201108,550.00,550.00,470.00,489.00,4951917000,10119,287,D,659.00,510.00
IKCO-O-991007,20201107,750.00,810.00,600.00,659.00,16090132000,24430,620,D,654.00,649.00
IKCO-O-991007,20201104,740.00,750.00,623.00,654.00,5187426000,7935,237,D,700.00,631.00
IKCO-O-991007,20201102,800.00,800.00,660.00,700.00,3536514000,5051,154,D,785.00,690.00
IKCO-O-991007,20201031,755.00,824.00,700.00,785.00,8645568000,11011,374,D,657.00,814.00
IKCO-O-991007,20201028,601.00,749.00,574.00,657.00,18885590000,28730,690,D,597.00,700.00
IKCO-O-991007,20201027,700.00,700.00,570.00,597.00,12408139000,20781,496,D,619.00,584.00
IKCO-O-991007,20201026,551.00,719.00,471.00,619.00,9942190000,16060,483,D,613.00,700.00
IKCO-O-991007,20201024,650.00,700.00,568.00,613.00,3572957000,5826,174,D,855.00,580.00
IKCO-O-991007,20201021,950.00,1060.00,737.00,855.00,6580950000,7701,262,D,569.00,738.00
IKCO-O-991007,20201020,455.00,890.00,455.00,569.00,2230473000,3921,136,D,552.00,755.00
IKCO-O-991007,20201019,511.00,650.00,403.00,552.00,2283329000,4135,113,D,649.00,560.00
IKCO-O-991007,20201018,600.00,700.00,600.00,649.00,1928585000,2973,101,D,794.00,630.00
IKCO-O-991007,20201014,900.00,900.00,730.00,794.00,1629754000,2053,105,D,1042.00,752.00
IKCO-O-991007,20201013,1070.00,1140.00,962.00,1042.00,7725261000,7412,171,D,961.00,1011.00
IKCO-O-991007,20201012,1000.00,1098.00,866.00,961.00,6937823000,7218,215,D,1010.00,1080.00
IKCO-O-991007,20201011,1100.00,1100.00,861.00,1010.00,2001786000,1981,115,D,916.00,980.00
IKCO-O-991007,20201010,923.00,1010.00,880.00,916.00,4131263000,4509,143,D,1013.00,917.00
IKCO-O-991007,20201007,1059.00,1098.00,877.00,1013.00,3970527000,3919,153,D,716.00,1070.00
IKCO-O-991007,20201006,690.00,860.00,669.00,716.00,3813844000,5330,189,D,594.00,845.00
IKCO-O-991007,20201005,550.00,679.00,500.00,594.00,17224985000,29018,663,D,533.00,603.00
IKCO-O-991007,20201004,550.00,599.00,400.00,533.00,7705042000,14443,328,D,514.00,500.00
IKCO-O-991007,20201003,680.00,690.00,480.00,514.00,3899006000,7583,172,D,517.00,570.00
IKCO-O-991007,20200930,580.00,580.00,499.00,517.00,1708538000,3306,94,D,448.00,501.00
IKCO-O-991007,20200929,400.00,500.00,400.00,448.00,249144000,556,13,D,329.00,450.00
IKCO-O-991007,20200928,489.00,489.00,300.00,329.00,17084000,52,5,D,562.00,300.00
IKCO-O-991007,20200927,700.00,700.00,500.00,562.00,181100000,322,10,D,769.00,500.00
IKCO-O-991007,20200926,750.00,800.00,700.00,769.00,526100000,684,33,D,1074.00,800.00
IKCO-O-991007,20200923,1000.00,1200.00,800.00,1074.00,29000000,27,15,D,1.00,1200.00
